SISTEMAS,bytes,mb,gb,text,GB_log,etiqueta
FFON_FLUFON,346322658481.5,330279.0245833397,322.53810994466767,FFON_FLUFON <br> GB: 322.54 <br> MB: 330279.02 <br> BYTES: 346322658481.5,5.779316912086462,FFON_FLUFON <br> GB: 322.54
SIAG_GIA,147076407605.0,140262.99248218536,136.97557859588414,SIAG_GIA <br> GB: 136.98 <br> MB: 140262.99 <br> BYTES: 147076407605.0,4.927076702800259,SIAG_GIA <br> GB: 136.98
SIRAC_SIRAC,133797133075.0,127598.88942241669,124.6082904515788,SIRAC_SIRAC <br> GB: 124.61 <br> MB: 127598.89 <br> BYTES: 133797133075.0,4.833168258635832,SIRAC_SIRAC <br> GB: 124.61
SORI_SORI,6511246770.5,6209.6088128089905,6.06407110625878,SORI_SORI <br> GB: 6.06 <br> MB: 6209.61 <br> BYTES: 6511246770.5,1.9550215292559205,SORI_SORI <br> GB: 6.06
SISEC_SISEC,2383484313.0,2273.0677728652954,2.219792746938765,SISEC_SISEC <br> GB: 2.22 <br> MB: 2273.07 <br> BYTES: 2383484313.0,1.1693169931801148,SISEC_SISEC <br> GB: 2.22
SIMS_SIMS,2092437672.0,1995.5040664672852,1.9487344399094582,SIMS_SIMS <br> GB: 1.95 <br> MB: 1995.5 <br> BYTES: 2092437672.0,1.0813760748829115,SIMS_SIMS <br> GB: 1.95
MECA_MECA,1474453756.5,1406.148678302765,1.3731920686550438,MECA_MECA <br> GB: 1.37 <br> MB: 1406.15 <br> BYTES: 1474453756.5,0.8642359133501812,MECA_MECA <br> GB: 1.37
IMRC_TROYA,768070726.5,732.4893250465393,0.715321606490761,IMRC_TROYA <br> GB: 0.72 <br> MB: 732.49 <br> BYTES: 768070726.5,0.5396005886877558,IMRC_TROYA <br> GB: 0.72
SIAF_NSIAF,703807546.5,671.2031807899475,0.6554718562401831,SIAF_NSIAF <br> GB: 0.66 <br> MB: 671.2 <br> BYTES: 703807546.5,0.5040860777037179,SIAF_NSIAF <br> GB: 0.66
SCC_TASU,556935477.0,531.1350603103638,0.5186865823343396,SCC_TASU <br> GB: 0.52 <br> MB: 531.14 <br> BYTES: 556935477.0,0.4178458707472175,SCC_TASU <br> GB: 0.52
MDC_MDC,378558708.0,361.0217170715332,0.35256027057766914,MDC_MDC <br> GB: 0.35 <br> MB: 361.02 <br> BYTES: 378558708.0,0.30199929309510565,MDC_MDC <br> GB: 0.35
SIRYS_SIRYS,335143066.5,319.6173348426819,0.31212630355730653,SIRYS_SIRYS <br> GB: 0.31 <br> MB: 319.62 <br> BYTES: 335143066.5,0.2716489538436992,SIRYS_SIRYS <br> GB: 0.31
SIPE_SIPE,332224564.5,316.8340344429016,0.3094082367606461,SIPE_SIPE <br> GB: 0.31 <br> MB: 316.83 <br> BYTES: 332224564.5,0.2695753074897536,SIPE_SIPE <br> GB: 0.31
SOME_SOME,182331626.0,173.88498878479004,0.16980955936014652,SOME_SOME <br> GB: 0.17 <br> MB: 173.88 <br> BYTES: 182331626.0,0.1568409657835743,SOME_SOME <br> GB: 0.17
SOI_SOI,85506464.5,81.54531908035278,0.07963410066440701,SOI_SOI <br> GB: 0.08 <br> MB: 81.55 <br> BYTES: 85506464.5,0.07662218805080104,SOI_SOI <br> GB: 0.08
BNC_BNC,27846176.5,26.556183338165283,0.025933772791177034,BNC_BNC <br> GB: 0.03 <br> MB: 26.56 <br> BYTES: 27846176.5,0.02560319572873091,BNC_BNC <br> GB: 0.03
